CUDA Memory Cleared. Current VRAM Usage: 0.00 MB
On device cuda
Getting data loader crumb
Total unique classes found: 2
Label IDs: [0, 1]
Total images in dataset: 2003
Total batches: 86 (at batch size 16)

============================================================
Run 1/1  |  seed=42  |  results -> results/robust_classification/run_20260701_095352_seed42
============================================================

Training robust_classification for 200 epochs
  Batch  31 | t=[0,0] | loss=0.7280 | acc=10/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [4] pred=0 true=1 t=0, [10] pred=1 true=0 t=0, [12] pred=1 true=0 t=0, [14] pred=1 true=0 t=0, [15] pred=0 true=1 t=0
  Batch  32 | t=[0,0] | loss=0.7205 | acc=8/16 | MISCLASSIFIED: [3] pred=1 true=0 t=0, [4] pred=0 true=1 t=0, [6] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [10] pred=1 true=0 t=0, [13] pred=0 true=1 t=0, [14] pred=1 true=0 t=0, [15] pred=1 true=0 t=0
  Batch  33 | t=[0,0] | loss=0.6631 | acc=11/16 | MISCLASSIFIED: [2] pred=0 true=1 t=0, [3] pred=1 true=0 t=0, [6] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [12] pred=0 true=1 t=0
  Batch  34 | t=[0,0] | loss=0.6367 | acc=12/16 | MISCLASSIFIED: [4] pred=0 true=1 t=0, [9] pred=1 true=0 t=0, [12] pred=0 true=1 t=0, [14] pred=1 true=0 t=0
  Batch  35 | t=[0,0] | loss=0.5062 | acc=13/16 | MISCLASSIFIED: [2] pred=0 true=1 t=0, [11] pred=1 true=0 t=0, [12] pred=1 true=0 t=0
  Batch  36 | t=[0,0] | loss=0.6525 | acc=10/16 | MISCLASSIFIED: [5] pred=1 true=0 t=0, [6] pred=1 true=0 t=0, [7] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [14] pred=0 true=1 t=0
  Batch  37 | t=[0,0] | loss=0.5134 | acc=12/16 | MISCLASSIFIED: [1] pred=0 true=1 t=0, [5] pred=0 true=1 t=0, [8] pred=0 true=1 t=0, [15] pred=1 true=0 t=0
  Batch  38 | t=[0,0] | loss=0.5922 | acc=10/16 | MISCLASSIFIED: [2] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [6] pred=1 true=0 t=0, [11] pred=1 true=0 t=0, [12] pred=1 true=0 t=0, [13] pred=1 true=0 t=0
  Batch  39 | t=[0,0] | loss=0.7861 | acc=8/16 | MISCLASSIFIED: [1] pred=0 true=1 t=0, [2] pred=1 true=0 t=0, [3] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [8] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [11] pred=1 true=0 t=0
  Batch  40 | t=[0,0] | loss=0.7439 | acc=9/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [2] pred=1 true=0 t=0, [9] pred=1 true=0 t=0, [10] pred=1 true=0 t=0, [11] pred=1 true=0 t=0, [12] pred=1 true=0 t=0, [13] pred=1 true=0 t=0
  Batch  41 | t=[0,0] | loss=0.5222 | acc=12/16 | MISCLASSIFIED: [2] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [10] pred=1 true=0 t=0, [12] pred=1 true=0 t=0
  Batch  42 | t=[0,0] | loss=0.5467 | acc=10/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [1] pred=1 true=0 t=0, [4] pred=0 true=1 t=0, [5] pred=0 true=1 t=0, [6] pred=0 true=1 t=0, [8] pred=0 true=1 t=0
  Batch  43 | t=[0,0] | loss=0.7125 | acc=9/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [1] pred=1 true=0 t=0, [2] pred=0 true=1 t=0, [5] pred=0 true=1 t=0, [7] pred=1 true=0 t=0, [11] pred=0 true=1 t=0, [14] pred=1 true=0 t=0
  Batch  44 | t=[0,0] | loss=0.4832 | acc=14/16 | MISCLASSIFIED: [1] pred=0 true=1 t=0, [3] pred=0 true=1 t=0
  Batch  45 | t=[0,0] | loss=0.6344 | acc=11/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [6] pred=0 true=1 t=0, [7] pred=0 true=1 t=0, [8] pred=0 true=1 t=0, [9] pred=0 true=1 t=0
  Batch  46 | t=[0,0] | loss=0.6242 | acc=12/16 | MISCLASSIFIED: [5] pred=0 true=1 t=0, [8] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [13] pred=0 true=1 t=0
  Batch  47 | t=[0,0] | loss=0.6270 | acc=11/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [6] pred=1 true=0 t=0, [7] pred=0 true=1 t=0, [8] pred=0 true=1 t=0, [14] pred=1 true=0 t=0
  Batch  48 | t=[0,0] | loss=0.4845 | acc=12/16 | MISCLASSIFIED: [1] pred=0 true=1 t=0, [6] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [11] pred=1 true=0 t=0
